UniProtID,mean_Case,mean_Control,log2foldchange,p_value,t_value,,,,
Q9NZP8,12.69091205,12.75164221,-0.060730157,0.274651601,-1.098091219,,,,
Q15149,15.75297076,15.60892429,0.144046467,0.277235876,1.093147863,,,,
Q6XQN6,11.71801913,11.94755452,-0.229535393,0.277383884,-1.093059135,,,,
Q9NQ79,10.65914192,10.78119205,-0.122050124,0.277411073,-1.093655898,,,,
Q14315,13.97938082,14.06286303,-0.083482215,0.279051294,-1.089540235,,,,
P50991,16.36197618,16.25344303,0.108533158,0.279056678,1.088627665,,,,
Q03591,12.66625324,12.52083145,0.145421787,0.279219922,1.087976406,,,,
P22102,19.24715422,19.02529521,0.221859004,0.279975867,1.094957978,,,,
P54108,11.22449797,11.33562563,-0.111127654,0.280062045,-1.08617853,,,,
P02743,17.36722057,17.47731036,-0.110089793,0.280467026,-1.084188871,,,,
P61106,16.36066035,16.22960545,0.131054904,0.280573326,1.0876705,,,,
P07359,13.15999053,13.08528711,0.074703411,0.281910174,1.081602852,,,,
Q15828,10.15585596,9.971771683,0.184084275,0.282675359,1.095952629,,,,
P06276,14.34972856,14.41712058,-0.067392018,0.283117669,-1.078563083,,,,
P02794,13.86741024,13.95183389,-0.084423651,0.28418986,-1.080254857,,,,
P15121,10.84929631,10.99591446,-0.146618153,0.284526284,-1.093943894,,,,
Q8WU39,13.32230373,13.10410691,0.218196813,0.286870344,1.081626088,,,,
Q01082,9.772757302,9.294694767,0.478062535,0.288891301,1.068145904,,,,
Q08257,12.8366916,12.21941318,0.617278417,0.293190938,1.062411204,,,,
P62993,11.05214291,10.86655183,0.185591074,0.294933353,1.058381414,,,,
P02748,17.41440991,17.49909371,-0.084683803,0.298990805,-1.044042113,,,,
P04220,11.4754579,11.25420335,0.221254543,0.299621052,1.046494906,,,,
Q92835,16.27834104,16.3974639,-0.11912286,0.300940815,-1.04573817,,,,
P06737,14.43964529,14.3497705,0.089874788,0.301313531,1.040899674,,,,
Q12860,9.801101607,9.901698208,-0.100596601,0.302340586,-1.043495055,,,,
Q96FV2,7.725385609,8.038926416,-0.313540807,0.302552688,-1.045950276,,,,
P54577,12.47054886,12.21742973,0.25311913,0.304824666,1.041250183,,,,
Q99497,13.28459376,13.51344233,-0.228848565,0.309338855,-1.028825998,,,,
Q15631,15.01546168,15.14428745,-0.128825766,0.309919368,-1.029039976,,,,
P05091,10.92306489,10.66655466,0.256510235,0.316843997,1.010196874,,,,
P53396,12.12986339,12.31890558,-0.18904219,0.320119352,-1.00473828,,,,
Q9BS26,12.79524335,12.87026389,-0.075020543,0.321309947,-1.001351983,,,,
Q9Y2V2,12.25785656,12.16488074,0.09297582,0.32312516,0.996355679,,,,
Q9P0L0,13.813151,13.90083498,-0.087683979,0.326516383,-0.985168986,,,,
P01042,20.19778826,20.24853679,-0.050748532,0.329948892,-0.978650878,,,,
P08582,13.50048887,13.30922855,0.191260319,0.336944813,0.972272486,,,,
P00748,13.55609764,13.66113318,-0.105035538,0.34080976,-0.957174382,,,,
Q13564,15.63073671,15.51314622,0.117590485,0.342714475,0.953717756,,,,
O75390,18.26761883,18.51174399,-0.244125158,0.343729094,-0.956202744,,,,
P26927,10.57348025,10.33448191,0.238998339,0.344468461,0.950198098,,,,
Q15113,8.935521002,8.722099111,0.213421891,0.345409506,0.951010634,,,,
P16435,15.12372671,15.19504409,-0.07131738,0.347028313,-0.945525911,,,,
P07942,11.87388102,11.76994923,0.10393179,0.34811308,0.944568861,,,,
P06753,15.38464669,15.24010649,0.144540207,0.3482176,0.946532572,,,,
O15143,10.3371055,9.935095654,0.402009844,0.348329015,0.953105238,,,,
P19367,14.05108417,14.29940871,-0.248324548,0.349907532,-0.940405953,,,,
P08603,17.31985104,17.43468831,-0.114837262,0.351043875,-0.936563812,,,,
P81605,8.462998353,8.258578242,0.204420111,0.351957199,0.937172296,,,,
P05166,9.847472043,10.23512964,-0.3876576,0.351997784,-0.946066709,,,,
Q92673,11.1385494,10.94991327,0.188636133,0.352858256,0.937040759,,,,
Q8NC51,6.573843333,6.191746856,0.382096477,0.355052997,0.931609213,,,,
P50990,15.3914512,15.50391345,-0.112462248,0.355505238,-0.934722699,,,,
Q9NP71,11.97786515,12.12713622,-0.149271067,0.356852316,-0.934546303,,,,
Q00688,15.61542363,15.72218277,-0.106759138,0.35709624,-0.928474965,,,,
Q92820,11.08420712,10.94939904,0.134808089,0.361923163,0.916385754,,,,
P07954,16.84796496,16.94668972,-0.098724765,0.362039581,-0.915842052,,,,
P30043,10.05248353,9.852384766,0.200098761,0.364195626,0.930594912,,,,
P20810,15.03892527,15.14805798,-0.109132715,0.36575972,-0.909960397,,,,
P09622,15.28543054,15.17503198,0.110398557,0.367747314,0.910581472,,,,
P80188,7.592323258,7.29651085,0.295812408,0.369296998,0.91091055,,,,
Q6PI48,14.6714447,14.52414936,0.147295341,0.37246077,0.900738969,,,,
P02649,17.89040476,17.96128709,-0.070882333,0.372461846,-0.895606808,,,,
P08571,14.11014502,14.16525044,-0.055105419,0.378666914,-0.884054238,,,,
P09104,17.02318669,17.11590028,-0.092713588,0.378828696,-0.881790614,,,,
Q14520,15.05789033,14.83447165,0.223418676,0.38217534,0.877301618,,,,
P07195,15.20746925,15.37149579,-0.16402654,0.383458973,-0.878306609,,,,
Q9H4G4,12.58642679,12.53230892,0.054117877,0.385132781,0.872562695,,,,
Q16610,13.20093305,13.26493939,-0.064006339,0.385770059,-0.871230635,,,,
Q9Y6U3,14.94144998,15.02739947,-0.085949485,0.386144546,-0.870821314,,,,
P10599,10.18407576,10.03482538,0.149250376,0.389789117,0.86539451,,,,
